FIPS,County,State,Plan_Selections
17143,Peoria County,IL,4369
17145,Perry County,IL,492
17147,Piatt County,IL,491
17149,Pike County,IL,504
17151,Pope County,IL,85
17153,Pulaski County,IL,114
17155,Putnam County,IL,242
17157,Randolph County,IL,601
17159,Richland County,IL,531
17161,Rock Island County,IL,3457
17163,St. Clair County,IL,6123
17165,Saline County,IL,621
17167,Sangamon County,IL,4381
17169,Schuyler County,IL,223
17171,Scott County,IL,115
17173,Shelby County,IL,752
17175,Stark County,IL,169
17177,Stephenson County,IL,1741
17179,Tazewell County,IL,3121
17181,Union County,IL,438
17183,Vermilion County,IL,1743
17185,Wabash County,IL,346
17187,Warren County,IL,391
17189,Washington County,IL,417
17191,Wayne County,IL,531
17193,White County,IL,446
17195,Whiteside County,IL,1427
17197,Will County,IL,20278
17199,Williamson County,IL,1675
17201,Winnebago County,IL,8263
17203,Woodford County,IL,929
18001,Adams County,IN,908
18003,Allen County,IN,10309
18005,Bartholomew County,IN,1852
18007,Benton County,IN,341
18009,Blackford County,IN,384
18011,Boone County,IN,2307
18013,Brown County,IN,752
18015,Carroll County,IN,644
18017,Cass County,IN,1010
18019,Clark County,IN,2658
18021,Clay County,IN,793
18023,Clinton County,IN,832
18025,Crawford County,IN,322
18027,Daviess County,IN,688
18029,Dearborn County,IN,1432
18031,Decatur County,IN,892
18033,DeKalb County,IN,1073
18035,Delaware County,IN,2705
18037,Dubois County,IN,1209
18039,Elkhart County,IN,5418
18041,Fayette County,IN,656
18043,Floyd County,IN,2010
18045,Fountain County,IN,471
18047,Franklin County,IN,791
18049,Fulton County,IN,743
18051,Gibson County,IN,974
18053,Grant County,IN,1480
18055,Greene County,IN,926
18057,Hamilton County,IN,12542
18059,Hancock County,IN,2651
18061,Harrison County,IN,940
18063,Hendricks County,IN,5107
18065,Henry County,IN,1193
18067,Howard County,IN,1677
18069,Huntington County,IN,982
18071,Jackson County,IN,1198
18073,Jasper County,IN,979
18075,Jay County,IN,665
18077,Jefferson County,IN,874
18079,Jennings County,IN,705
18081,Johnson County,IN,4969
18083,Knox County,IN,1007
18085,Kosciusko County,IN,2816
18087,LaGrange County,IN,731
18089,Lake County,IN,13472
18091,LaPorte County,IN,3219
18093,Lawrence County,IN,1327
18095,Madison County,IN,3638
18097,Marion County,IN,29663
18099,Marshall County,IN,1767
18101,Martin County,IN,305
18103,Miami County,IN,783
18105,Monroe County,IN,4737
18107,Montgomery County,IN,1077
18109,Morgan County,IN,2077
18111,Newton County,IN,475
18113,Noble County,IN,1150
18115,Ohio County,IN,122
18117,Orange County,IN,462
18119,Owen County,IN,704
18121,Parke County,IN,477
18123,Perry County,IN,512
18125,Pike County,IN,310
18127,Porter County,IN,5120
18129,Posey County,IN,808
18131,Pulaski County,IN,429
18133,Putnam County,IN,970
18135,Randolph County,IN,729
18137,Ripley County,IN,805
18139,Rush County,IN,731
18141,St. Joseph County,IN,8420
18143,Scott County,IN,531
18145,Shelby County,IN,1422
18147,Spencer County,IN,588
18149,Starke County,IN,833
18151,Steuben County,IN,1100
18153,Sullivan County,IN,509
18155,Switzerland County,IN,237
18157,Tippecanoe County,IN,4193
18159,Tipton County,IN,468
18161,Union County,IN,219
18163,Vanderburgh County,IN,6120
18165,Vermillion County,IN,450
18167,Vigo County,IN,3101
18169,Wabash County,IN,1016
18171,Warren County,IN,278
18173,Warrick County,IN,2252
18175,Washington County,IN,932
18177,Wayne County,IN,1364
18179,Wells County,IN,807
18181,White County,IN,859
18183,Whitley County,IN,1057
19001,Adair County,IA,155
19003,Adams County,IA,69
19005,Allamakee County,IA,479
19007,Appanoose County,IA,270
19009,Audubon County,IA,138
19011,Benton County,IA,504
19013,Black Hawk County,IA,1966
19015,Boone County,IA,420
19017,Bremer County,IA,370
19019,Buchanan County,IA,353
19021,Buena Vista County,IA,318
19023,Butler County,IA,274
19025,Calhoun County,IA,217
19027,Carroll County,IA,312
19029,Cass County,IA,255
19031,Cedar County,IA,277
19033,Cerro Gordo County,IA,710
19035,Cherokee County,IA,220
19037,Chickasaw County,IA,269
19039,Clarke County,IA,162
19041,Clay County,IA,336
19043,Clayton County,IA,416
19045,Clinton County,IA,850
19047,Crawford County,IA,279
19049,Dallas County,IA,1439
19051,Davis County,IA,102
19053,Decatur County,IA,193
19055,Delaware County,IA,306
19057,Des Moines County,IA,638
19059,Dickinson County,IA,408
19061,Dubuque County,IA,1359
19063,Emmet County,IA,163
19065,Fayette County,IA,453
19067,Floyd County,IA,255
19069,Franklin County,IA,159
19071,Fremont County,IA,157
19073,Greene County,IA,161
19075,Grundy County,IA,171
19077,Guthrie County,IA,296
19079,Hamilton County,IA,257
19081,Hancock County,IA,172
19083,Hardin County,IA,361
19085,Harrison County,IA,362
19087,Henry County,IA,224
19089,Howard County,IA,281
19091,Humboldt County,IA,159
19093,Ida County,IA,130
19095,Iowa County,IA,316
19097,Jackson County,IA,349
19099,Jasper County,IA,622
19101,Jefferson County,IA,545
19103,Johnson County,IA,2236
19105,Jones County,IA,338
19107,Keokuk County,IA,163
19109,Kossuth County,IA,292
19111,Lee County,IA,624
19113,Linn County,IA,3704
19115,Louisa County,IA,142
19117,Lucas County,IA,128
19119,Lyon County,IA,154
19121,Madison County,IA,358
19123,Mahaska County,IA,312
19125,Marion County,IA,505
19127,Marshall County,IA,533
19129,Mills County,IA,281
19131,Mitchell County,IA,172
19133,Monona County,IA,210
19135,Monroe County,IA,122
19137,Montgomery County,IA,199
19139,Muscatine County,IA,760
19141,O'Brien County,IA,183
19143,Osceola County,IA,84
19145,Page County,IA,228
19147,Palo Alto County,IA,154
19149,Plymouth County,IA,437
19151,Pocahontas County,IA,105
19153,Polk County,IA,8968
19155,Pottawattamie County,IA,1743
19157,Poweshiek County,IA,295
19159,Ringgold County,IA,139
19161,Sac County,IA,234
19163,Scott County,IA,3389
19165,Shelby County,IA,235
19167,Sioux County,IA,407
19169,Story County,IA,1132
19171,Tama County,IA,255
19173,Taylor County,IA,113
19175,Union County,IA,233
19177,Van Buren County,IA,154
19179,Wapello County,IA,519
19181,Warren County,IA,838
19183,Washington County,IA,363
19185,Wayne County,IA,166
19187,Webster County,IA,587
19189,Winnebago County,IA,155
19191,Winneshiek County,IA,832
19193,Woodbury County,IA,1888
19195,Worth County,IA,90
19197,Wright County,IA,272
20001,Allen County,KS,519
20003,Anderson County,KS,325
20005,Atchison County,KS,485
20007,Barber County,KS,170
20009,Barton County,KS,914
20011,Bourbon County,KS,603
20013,Brown County,KS,315
20015,Butler County,KS,2086
20017,Chase County,KS,106
20019,Chautauqua County,KS,130
20021,Cherokee County,KS,496
20023,Cheyenne County,KS,75
20025,Clark County,KS,60
20027,Clay County,KS,240
20029,Cloud County,KS,301
20031,Coffey County,KS,298
20033,Comanche County,KS,75
20035,Cowley County,KS,926
20037,Crawford County,KS,1122
20039,Decatur County,KS,122
20041,Dickinson County,KS,686
20043,Doniphan County,KS,235
20045,Douglas County,KS,5332
20047,Edwards County,KS,86
20049,Elk County,KS,158
20051,Ellis County,KS,820
20053,Ellsworth County,KS,222
20055,Finney County,KS,1150
20057,Ford County,KS,780
20059,Franklin County,KS,1070
20061,Geary County,KS,585
20063,Gove County,KS,131
20065,Graham County,KS,89
20067,Grant County,KS,222
20069,Gray County,KS,176
20071,Greeley County,KS,58
20073,Greenwood County,KS,229
20075,Hamilton County,KS,86
20077,Harper County,KS,219
20079,Harvey County,KS,1090
20081,Haskell County,KS,135
20083,Hodgeman County,KS,78
20085,Jackson County,KS,375
20087,Jefferson County,KS,641
20089,Jewell County,KS,143
20091,Johnson County,KS,26065
20093,Kearny County,KS,141
20095,Kingman County,KS,273
20097,Kiowa County,KS,90
20099,Labette County,KS,564
20101,Lane County,KS,65
20103,Leavenworth County,KS,2115
20105,Lincoln County,KS,140
20107,Linn County,KS,367
20109,Logan County,KS,104
20111,Lyon County,KS,1186
20113,McPherson County,KS,845
20115,Marion County,KS,357
20117,Marshall County,KS,351
20119,Meade County,KS,115
20121,Miami County,KS,1206
20123,Mitchell County,KS,289
20125,Montgomery County,KS,961
20127,Morris County,KS,244
20129,Morton County,KS,71
20131,Nemaha County,KS,300
20133,Neosho County,KS,561
20135,Ness County,KS,73
20137,Norton County,KS,176
20139,Osage County,KS,466
20141,Osborne County,KS,179
20143,Ottawa County,KS,211
20145,Pawnee County,KS,222
20147,Phillips County,KS,208
20149,Pottawatomie County,KS,640
20151,Pratt County,KS,330
20153,Rawlins County,KS,111
20155,Reno County,KS,2178
20157,Republic County,KS,185
20159,Rice County,KS,295
20161,Riley County,KS,1549
20163,Rooks County,KS,200
20165,Rush County,KS,77
20167,Russell County,KS,288
20169,Saline County,KS,1983
20171,Scott County,KS,138
20173,Sedgwick County,KS,16763
20175,Seward County,KS,578
20177,Shawnee County,KS,5083
20179,Sheridan County,KS,116
20181,Sherman County,KS,194
20183,Smith County,KS,206
20185,Stafford County,KS,169
20187,Stanton County,KS,76
20189,Stevens County,KS,145
20191,Sumner County,KS,695
20193,Thomas County,KS,295
20195,Trego County,KS,94
20197,Wabaunsee County,KS,201
20199,Wallace County,KS,60
20201,Washington County,KS,198
20203,Wichita County,KS,62
20205,Wilson County,KS,260
20207,Woodson County,KS,172
20209,Wyandotte County,KS,6103
22001,Acadia Parish,LA,2201
22003,Allen Parish,LA,564
22005,Ascension Parish,LA,4057
22007,Assumption Parish,LA,820
22009,Avoyelles Parish,LA,1827
22011,Beauregard Parish,LA,1023
22013,Bienville Parish,LA,583
22015,Bossier Parish,LA,4454
22017,Caddo Parish,LA,11259
22019,Calcasieu Parish,LA,6742
22021,Caldwell Parish,LA,386
22023,Cameron Parish,LA,216
22025,Catahoula Parish,LA,591
22027,Claiborne Parish,LA,630
22029,Concordia Parish,LA,915
22031,De Soto Parish,LA,1029
22033,East Baton Rouge Parish,LA,22895
22035,East Carroll Parish,LA,360
22037,East Feliciana Parish,LA,764
22039,Evangeline Parish,LA,987
22041,Franklin Parish,LA,1069
22043,Grant Parish,LA,636
22045,Iberia Parish,LA,2733
22047,Iberville Parish,LA,1347
22049,Jackson Parish,LA,671
22051,Jefferson Parish,LA,27964
22053,Jefferson Davis Parish,LA,1525
22055,Lafayette Parish,LA,11276
22057,Lafourche Parish,LA,3372
22059,La Salle Parish,LA,452
22061,Lincoln Parish,LA,1839
22063,Livingston Parish,LA,5050
22065,Madison Parish,LA,400
22067,Morehouse Parish,LA,1332
22069,Natchitoches Parish,LA,1542
22071,Orleans Parish,LA,24475
22073,Ouachita Parish,LA,7949
22075,Plaquemines Parish,LA,1203
22077,Pointe Coupee Parish,LA,1021
22079,Rapides Parish,LA,5414
22081,Red River Parish,LA,329
22083,Richland Parish,LA,1089
22085,Sabine Parish,LA,836
22087,St. Bernard Parish,LA,2069
22089,St. Charles Parish,LA,2017
22091,St. Helena Parish,LA,512
22093,St. James Parish,LA,716
22095,St. John the Baptist Parish,LA,1970
22097,St. Landry Parish,LA,3521
22099,St. Martin Parish,LA,2282
22101,St. Mary Parish,LA,1848
22103,St. Tammany Parish,LA,14024
22105,Tangipahoa Parish,LA,5055
22107,Tensas Parish,LA,277
22109,Terrebonne Parish,LA,3624
22111,Union Parish,LA,988
22113,Vermilion Parish,LA,2317
22115,Vernon Parish,LA,1157
22117,Washington Parish,LA,1618
22119,Webster Parish,LA,1785
22121,West Baton Rouge Parish,LA,1087
22123,West Carroll Parish,LA,409
22125,West Feliciana Parish,LA,426
22127,Winn Parish,LA,614
23001,Androscoggin County,ME,4594
23003,Aroostook County,ME,4384
23005,Cumberland County,ME,18233
23007,Franklin County,ME,2054
23009,Hancock County,ME,5668
23011,Kennebec County,ME,5639
23013,Knox County,ME,4397
23015,Lincoln County,ME,3218
23017,Oxford County,ME,4123
23019,Penobscot County,ME,7895
23021,Piscataquis County,ME,1023
23023,Sagadahoc County,ME,2127
23025,Somerset County,ME,2603
23027,Waldo County,ME,3253
23029,Washington County,ME,2527
23031,York County,ME,12321
26001,Alcona County,MI,429
26003,Alger County,MI,416
26005,Allegan County,MI,4583
26007,Alpena County,MI,1123
26009,Antrim County,MI,1228
26011,Arenac County,MI,545
26013,Baraga County,MI,304
26015,Barry County,MI,2070
26017,Bay County,MI,2977
26019,Benzie County,MI,1058
26021,Berrien County,MI,6120
26023,Branch County,MI,1489
26025,Calhoun County,MI,3227
26027,Cass County,MI,1905
26029,Charlevoix County,MI,1438
26031,Cheboygan County,MI,1239
26033,Chippewa County,MI,992
26035,Clare County,MI,863
26037,Clinton County,MI,2196
26039,Crawford County,MI,504
26041,Delta County,MI,1949
26043,Dickinson County,MI,1416
26045,Eaton County,MI,3024
26047,Emmet County,MI,2237
26049,Genesee County,MI,10931
26051,Gladwin County,MI,745
26053,Gogebic County,MI,811
26055,Grand Traverse County,MI,4985
26057,Gratiot County,MI,1128
26059,Hillsdale County,MI,1752
26061,Houghton County,MI,1618
26063,Huron County,MI,1551
26065,Ingham County,MI,7447
26067,Ionia County,MI,1734
26069,Iosco County,MI,885
26071,Iron County,MI,669
26073,Isabella County,MI,1677
26075,Jackson County,MI,4260
26077,Kalamazoo County,MI,7983
26079,Kalkaska County,MI,662
26081,Kent County,MI,20987
26083,Keweenaw County,MI,132
26085,Lake County,MI,402
26087,Lapeer County,MI,3413
